# Parametric Fisher Information & CRLB Results
# G(t) = 1e-3 + 1e-4 * cos(2*pi*t)
# theta_true = (1.000000e-03, 1.000000e-04)
# theta_fit  = (1.000260e-03, 9.912823e-05)
# sigma per channel = (1.00e-05, 1.00e-05, 1.00e-05)
# F_scalar = 15000000000.0000
# CRLB_scalar = 6.666667e-11
#
# Fisher parametric (2x2):
#   7.500000e+12  1.500000e+10
#   1.500000e+10  3.757500e+12
#
# CRLB parametric (2x2):
#   1.333344e-13  -5.322730e-16
#   -5.322730e-16  2.661365e-13
#
# t	G_true	G_hat	G_recon	G_fit
0.16633267	0.00105018	0.00106186	0.00105018	0.00105000
0.16833667	0.00104909	0.00104491	0.00104909	0.00104892
0.17034068	0.00104799	0.00104630	0.00104799	0.00104783
0.17234469	0.00104688	0.00104992	0.00104688	0.00104673
0.17434870	0.00104576	0.00104229	0.00104576	0.00104562
0.17635271	0.00104464	0.00104664	0.00104464	0.00104451
0.17835671	0.00104351	0.00104122	0.00104351	0.00104339
0.18036072	0.00104237	0.00104350	0.00104237	0.00104226
0.18236473	0.00104123	0.00104450	0.00104123	0.00104113
0.18436874	0.00104008	0.00103859	0.00104008	0.00103999
0.18637275	0.00103892	0.00103896	0.00103892	0.00103884
0.18837675	0.00103776	0.00104206	0.00103776	0.00103769
0.19038076	0.00103659	0.00102343	0.00103659	0.00103653
0.19238477	0.00103542	0.00103559	0.00103542	0.00103537
0.19438878	0.00103423	0.00102945	0.00103423	0.00103420
0.19639279	0.00103305	0.00103012	0.00103305	0.00103302
0.19839679	0.00103186	0.00103281	0.00103186	0.00103184
0.20040080	0.00103066	0.00102627	0.00103066	0.00103065
0.20240481	0.00102946	0.00102051	0.00102946	0.00102946
0.20440882	0.00102826	0.00103177	0.00102826	0.00102827
0.20641283	0.00102705	0.00103073	0.00102705	0.00102707
0.20841683	0.00102583	0.00102751	0.00102583	0.00102587
0.21042084	0.00102461	0.00103982	0.00102461	0.00102466
0.21242485	0.00102339	0.00103081	0.00102339	0.00102345
0.21442886	0.00102216	0.00101503	0.00102216	0.00102223
0.21643287	0.00102093	0.00101079	0.00102093	0.00102101
0.21843687	0.00101970	0.00102918	0.00101970	0.00101979
0.22044088	0.00101847	0.00101004	0.00101847	0.00101856
0.22244489	0.00101723	0.00101668	0.00101723	0.00101734
0.22444890	0.00101599	0.00101825	0.00101599	0.00101611
0.22645291	0.00101474	0.00102366	0.00101474	0.00101487
0.22845691	0.00101349	0.00102852	0.00101349	0.00101364
0.23046092	0.00101225	0.00101512	0.00101225	0.00101240
0.23246493	0.00101100	0.00101149	0.00101100	0.00101116
0.23446894	0.00100974	0.00100679	0.00100974	0.00100992
0.23647295	0.00100849	0.00101931	0.00100849	0.00100867
0.23847695	0.00100723	0.00101374	0.00100723	0.00100743
0.24048096	0.00100598	0.00100598	0.00100598	0.00100618
0.24248497	0.00100472	0.00100180	0.00100472	0.00100494
0.24448898	0.00100346	0.00102536	0.00100346	0.00100369
0.24649299	0.00100220	0.00100183	0.00100220	0.00100244
0.24849699	0.00100094	0.00101548	0.00100094	0.00100120
0.25050100	0.00099969	0.00101088	0.00099969	0.00099995
0.25250501	0.00099843	0.00098523	0.00099843	0.00099870
0.25450902	0.00099717	0.00099255	0.00099717	0.00099745
0.25651303	0.00099591	0.00099694	0.00099591	0.00099620
0.25851703	0.00099465	0.00099859	0.00099465	0.00099496
0.26052104	0.00099339	0.00097177	0.00099339	0.00099371
0.26252505	0.00099214	0.00100279	0.00099214	0.00099247
0.26452906	0.00099088	0.00098275	0.00099088	0.00099122
0.26653307	0.00098963	0.00098994	0.00098963	0.00098998
0.26853707	0.00098838	0.00097550	0.00098838	0.00098874
0.27054108	0.00098713	0.00098643	0.00098713	0.00098750
0.27254509	0.00098588	0.00098615	0.00098588	0.00098626
0.27454910	0.00098464	0.00098298	0.00098464	0.00098503
0.27655311	0.00098339	0.00098022	0.00098339	0.00098380
0.27855711	0.00098215	0.00096531	0.00098215	0.00098257
0.28056112	0.00098092	0.00098019	0.00098092	0.00098134
0.28256513	0.00097968	0.00099952	0.00097968	0.00098012
0.28456914	0.00097845	0.00096600	0.00097845	0.00097890
0.28657315	0.00097722	0.00096843	0.00097722	0.00097768
0.28857715	0.00097600	0.00097609	0.00097600	0.00097647
0.29058116	0.00097478	0.00097817	0.00097478	0.00097526
0.29258517	0.00097356	0.00094734	0.00097356	0.00097405
0.29458918	0.00097235	0.00096318	0.00097235	0.00097285
0.29659319	0.00097114	0.00097308	0.00097114	0.00097165
0.29859719	0.00096994	0.00097656	0.00096994	0.00097046
0.30060120	0.00096874	0.00098274	0.00096874	0.00096927
0.30260521	0.00096755	0.00097737	0.00096755	0.00096809
0.30460922	0.00096636	0.00096003	0.00096636	0.00096691
0.30661323	0.00096517	0.00095935	0.00096517	0.00096574
0.30861723	0.00096400	0.00098311	0.00096400	0.00096457
0.31062124	0.00096282	0.00095846	0.00096282	0.00096341
0.31262525	0.00096166	0.00097419	0.00096166	0.00096225
0.31462926	0.00096050	0.00096350	0.00096050	0.00096110
0.31663327	0.00095935	0.00095272	0.00095935	0.00095996
0.31863727	0.00095820	0.00096161	0.00095820	0.00095882
0.32064128	0.00095706	0.00094674	0.00095706	0.00095769
0.32264529	0.00095592	0.00095753	0.00095592	0.00095657
0.32464930	0.00095480	0.00096230	0.00095480	0.00095545
0.32665331	0.00095368	0.00094458	0.00095368	0.00095434
0.32865731	0.00095257	0.00095424	0.00095257	0.00095324
0.33066132	0.00095146	0.00095492	0.00095146	0.00095214
0.33266533	0.00095036	0.00095414	0.00095036	0.00095106
0.33466934	0.00094927	0.00097195	0.00094927	0.00094998
0.33667335	0.00094819	0.00092888	0.00094819	0.00094890
0.33867735	0.00094712	0.00094937	0.00094712	0.00094784
0.34068136	0.00094606	0.00094843	0.00094606	0.00094679
0.34268537	0.00094500	0.00092574	0.00094500	0.00094574
0.34468938	0.00094395	0.00094115	0.00094395	0.00094470
0.34669339	0.00094291	0.00094271	0.00094291	0.00094367
0.34869739	0.00094189	0.00093435	0.00094189	0.00094265
0.35070140	0.00094087	0.00094119	0.00094087	0.00094164
0.35270541	0.00093985	0.00093254	0.00093985	0.00094064
0.35470942	0.00093885	0.00096023	0.00093885	0.00093965
0.35671343	0.00093786	0.00094234	0.00093786	0.00093866
0.35871743	0.00093688	0.00096349	0.00093688	0.00093769
0.36072144	0.00093591	0.00094489	0.00093591	0.00093673
0.36272545	0.00093495	0.00092171	0.00093495	0.00093577
0.36472946	0.00093400	0.00092336	0.00093400	0.00093483
0.36673347	0.00093306	0.00093953	0.00093306	0.00093390
0.36873747	0.00093213	0.00092249	0.00093213	0.00093298
0.37074148	0.00093121	0.00094072	0.00093121	0.00093207
0.37274549	0.00093030	0.00093185	0.00093030	0.00093117
0.37474950	0.00092940	0.00092642	0.00092940	0.00093028
0.37675351	0.00092851	0.00092761	0.00092851	0.00092940
0.37875752	0.00092764	0.00092050	0.00092764	0.00092853
0.38076152	0.00092678	0.00092139	0.00092678	0.00092767
0.38276553	0.00092592	0.00093936	0.00092592	0.00092683
0.38476954	0.00092508	0.00091930	0.00092508	0.00092600
0.38677355	0.00092426	0.00092006	0.00092426	0.00092518
0.38877756	0.00092344	0.00092855	0.00092344	0.00092437
0.39078156	0.00092264	0.00092314	0.00092264	0.00092357
0.39278557	0.00092184	0.00091813	0.00092184	0.00092279
0.39478958	0.00092107	0.00091375	0.00092107	0.00092201
0.39679359	0.00092030	0.00092685	0.00092030	0.00092125
0.39879760	0.00091954	0.00091069	0.00091954	0.00092051
0.40080160	0.00091880	0.00091770	0.00091880	0.00091977
0.40280561	0.00091807	0.00092881	0.00091807	0.00091905
0.40480962	0.00091736	0.00091988	0.00091736	0.00091834
0.40681363	0.00091666	0.00091429	0.00091666	0.00091764
0.40881764	0.00091597	0.00089641	0.00091597	0.00091696
0.41082164	0.00091529	0.00091308	0.00091529	0.00091629
0.41282565	0.00091463	0.00090953	0.00091463	0.00091563
0.41482966	0.00091398	0.00092910	0.00091398	0.00091499
0.41683367	0.00091335	0.00090290	0.00091335	0.00091436
0.41883768	0.00091272	0.00094972	0.00091272	0.00091374
0.42084168	0.00091212	0.00091733	0.00091212	0.00091314
0.42284569	0.00091152	0.00091845	0.00091152	0.00091255
0.42484970	0.00091094	0.00091367	0.00091094	0.00091198
0.42685371	0.00091038	0.00091738	0.00091038	0.00091142
0.42885772	0.00090983	0.00090747	0.00090983	0.00091087
0.43086172	0.00090929	0.00092170	0.00090929	0.00091034
0.43286573	0.00090877	0.00090437	0.00090877	0.00090982
0.43486974	0.00090826	0.00090768	0.00090826	0.00090932
0.43687375	0.00090776	0.00090210	0.00090776	0.00090883
0.43887776	0.00090728	0.00090745	0.00090728	0.00090835
0.44088176	0.00090682	0.00092430	0.00090682	0.00090789
0.44288577	0.00090637	0.00088252	0.00090637	0.00090745
0.44488978	0.00090594	0.00090152	0.00090594	0.00090701
0.44689379	0.00090552	0.00089972	0.00090552	0.00090660
0.44889780	0.00090511	0.00090310	0.00090511	0.00090620
0.45090180	0.00090472	0.00091075	0.00090472	0.00090581
0.45290581	0.00090435	0.00090490	0.00090435	0.00090544
0.45490982	0.00090399	0.00089912	0.00090399	0.00090508
0.45691383	0.00090364	0.00089528	0.00090364	0.00090474
0.45891784	0.00090331	0.00090265	0.00090331	0.00090442
0.46092184	0.00090300	0.00089944	0.00090300	0.00090410
0.46292585	0.00090270	0.00089762	0.00090270	0.00090381
0.46492986	0.00090242	0.00090544	0.00090242	0.00090353
0.46693387	0.00090215	0.00088646	0.00090215	0.00090326
0.46893788	0.00090190	0.00092305	0.00090190	0.00090301
0.47094188	0.00090166	0.00090904	0.00090166	0.00090278
0.47294589	0.00090144	0.00088965	0.00090144	0.00090256
0.47494990	0.00090124	0.00090903	0.00090124	0.00090236
0.47695391	0.00090105	0.00090774	0.00090105	0.00090217
0.47895792	0.00090087	0.00091332	0.00090087	0.00090200
0.48096192	0.00090071	0.00088316	0.00090071	0.00090184
0.48296593	0.00090057	0.00089128	0.00090057	0.00090170
0.48496994	0.00090045	0.00089965	0.00090045	0.00090157
0.48697395	0.00090033	0.00090628	0.00090033	0.00090146
0.48897796	0.00090024	0.00089569	0.00090024	0.00090137
0.49098196	0.00090016	0.00089309	0.00090016	0.00090129
0.49298597	0.00090010	0.00089818	0.00090010	0.00090123
0.49498998	0.00090005	0.00089066	0.00090005	0.00090118
0.49699399	0.00090002	0.00090771	0.00090002	0.00090115
0.49899800	0.00090000	0.00089332	0.00090000	0.00090113
0.50100200	0.00090000	0.00088544	0.00090000	0.00090113
0.50300601	0.00090002	0.00089713	0.00090002	0.00090115
0.50501002	0.00090005	0.00090769	0.00090005	0.00090118
0.50701403	0.00090010	0.00091400	0.00090010	0.00090123
0.50901804	0.00090016	0.00088370	0.00090016	0.00090129
0.51102204	0.00090024	0.00091456	0.00090024	0.00090137
0.51302605	0.00090033	0.00091207	0.00090033	0.00090146
0.51503006	0.00090045	0.00089696	0.00090045	0.00090157
0.51703407	0.00090057	0.00089781	0.00090057	0.00090170
0.51903808	0.00090071	0.00091055	0.00090071	0.00090184
0.52104208	0.00090087	0.00089086	0.00090087	0.00090200
0.52304609	0.00090105	0.00090146	0.00090105	0.00090217
0.52505010	0.00090124	0.00089669	0.00090124	0.00090236
0.52705411	0.00090144	0.00089397	0.00090144	0.00090256
0.52905812	0.00090166	0.00090764	0.00090166	0.00090278
0.53106212	0.00090190	0.00088889	0.00090190	0.00090301
0.53306613	0.00090215	0.00091280	0.00090215	0.00090326
0.53507014	0.00090242	0.00090469	0.00090242	0.00090353
0.53707415	0.00090270	0.00089559	0.00090270	0.00090381
0.53907816	0.00090300	0.00091595	0.00090300	0.00090410
0.54108216	0.00090331	0.00091764	0.00090331	0.00090442
