# Parametric Fisher Information & CRLB Results
# G(t) = 1e-3 + 1e-4 * cos(2*pi*t)
# theta_true = (1.000000e-03, 1.000000e-04)
# theta_fit  = (1.000260e-03, 9.912823e-05)
# sigma per channel = (1.00e-05, 1.00e-05, 1.00e-05)
# F_scalar = 15000000000.0000
# CRLB_scalar = 6.666667e-11
#
# Fisher parametric (2x2):
#   7.500000e+12  1.500000e+10
#   1.500000e+10  3.757500e+12
#
# CRLB parametric (2x2):
#   1.333344e-13  -5.322730e-16
#   -5.322730e-16  2.661365e-13
#
# t	G_true	G_hat	G_recon	G_fit
0.83366733	0.00105018	0.00106458	0.00105018	0.00105000
0.83567134	0.00105127	0.00105328	0.00105127	0.00105108
0.83767535	0.00105234	0.00105723	0.00105234	0.00105215
0.83967936	0.00105341	0.00105516	0.00105341	0.00105321
0.84168337	0.00105447	0.00107537	0.00105447	0.00105426
0.84368737	0.00105552	0.00106038	0.00105552	0.00105530
0.84569138	0.00105657	0.00105579	0.00105657	0.00105633
0.84769539	0.00105760	0.00105941	0.00105760	0.00105736
0.84969940	0.00105863	0.00107090	0.00105863	0.00105837
0.85170341	0.00105964	0.00105861	0.00105964	0.00105938
0.85370741	0.00106065	0.00105049	0.00106065	0.00106038
0.85571142	0.00106164	0.00106873	0.00106164	0.00106137
0.85771543	0.00106263	0.00108012	0.00106263	0.00106234
0.85971944	0.00106361	0.00105144	0.00106361	0.00106331
0.86172345	0.00106457	0.00105298	0.00106457	0.00106427
0.86372745	0.00106553	0.00106448	0.00106553	0.00106522
0.86573146	0.00106648	0.00105503	0.00106648	0.00106616
0.86773547	0.00106741	0.00105754	0.00106741	0.00106708
0.86973948	0.00106834	0.00108128	0.00106834	0.00106800
0.87174349	0.00106925	0.00106640	0.00106925	0.00106890
0.87374749	0.00107015	0.00107420	0.00107015	0.00106980
0.87575150	0.00107104	0.00106657	0.00107104	0.00107068
0.87775551	0.00107192	0.00106219	0.00107192	0.00107156
0.87975952	0.00107279	0.00106866	0.00107279	0.00107242
0.88176353	0.00107365	0.00106768	0.00107365	0.00107327
0.88376754	0.00107450	0.00108010	0.00107450	0.00107411
0.88577154	0.00107533	0.00106588	0.00107533	0.00107493
0.88777555	0.00107615	0.00107490	0.00107615	0.00107575
0.88977956	0.00107696	0.00108058	0.00107696	0.00107655
0.89178357	0.00107776	0.00107509	0.00107776	0.00107734
0.89378758	0.00107855	0.00107082	0.00107855	0.00107812
0.89579158	0.00107932	0.00106844	0.00107932	0.00107889
0.89779559	0.00108008	0.00107635	0.00108008	0.00107964
0.89979960	0.00108083	0.00107539	0.00108083	0.00108038
0.90180361	0.00108156	0.00107954	0.00108156	0.00108111
0.90380762	0.00108228	0.00109100	0.00108228	0.00108183
0.90581162	0.00108299	0.00106808	0.00108299	0.00108253
0.90781563	0.00108369	0.00109667	0.00108369	0.00108322
0.90981964	0.00108437	0.00108029	0.00108437	0.00108390
0.91182365	0.00108504	0.00108720	0.00108504	0.00108456
0.91382766	0.00108570	0.00108727	0.00108570	0.00108521
0.91583166	0.00108634	0.00108248	0.00108634	0.00108585
0.91783567	0.00108697	0.00108707	0.00108697	0.00108647
0.91983968	0.00108758	0.00108258	0.00108758	0.00108708
0.92184369	0.00108818	0.00110557	0.00108818	0.00108767
0.92384770	0.00108877	0.00109787	0.00108877	0.00108826
0.92585170	0.00108934	0.00108599	0.00108934	0.00108882
0.92785571	0.00108990	0.00109605	0.00108990	0.00108938
0.92985972	0.00109045	0.00108910	0.00109045	0.00108992
0.93186373	0.00109098	0.00109910	0.00109098	0.00109044
0.93386774	0.00109149	0.00109108	0.00109149	0.00109095
0.93587174	0.00109199	0.00110905	0.00109199	0.00109145
0.93787575	0.00109248	0.00108867	0.00109248	0.00109193
0.93987976	0.00109295	0.00107957	0.00109295	0.00109240
0.94188377	0.00109341	0.00109243	0.00109341	0.00109285
0.94388778	0.00109385	0.00107396	0.00109385	0.00109329
0.94589178	0.00109428	0.00108978	0.00109428	0.00109371
0.94789579	0.00109469	0.00109945	0.00109469	0.00109412
0.94989980	0.00109509	0.00110308	0.00109509	0.00109452
0.95190381	0.00109547	0.00108121	0.00109547	0.00109490
0.95390782	0.00109584	0.00109666	0.00109584	0.00109526
0.95591182	0.00109619	0.00108210	0.00109619	0.00109561
0.95791583	0.00109652	0.00110649	0.00109652	0.00109594
0.95991984	0.00109685	0.00110938	0.00109685	0.00109626
0.96192385	0.00109715	0.00110154	0.00109715	0.00109656
0.96392786	0.00109744	0.00109391	0.00109744	0.00109685
0.96593186	0.00109772	0.00108056	0.00109772	0.00109713
0.96793587	0.00109798	0.00109902	0.00109798	0.00109738
0.96993988	0.00109822	0.00109316	0.00109822	0.00109762
0.97194389	0.00109845	0.00108125	0.00109845	0.00109785
0.97394790	0.00109866	0.00110438	0.00109866	0.00109806
0.97595190	0.00109886	0.00109750	0.00109886	0.00109826
0.97795591	0.00109904	0.00110882	0.00109904	0.00109844
0.97995992	0.00109921	0.00110527	0.00109921	0.00109860
0.98196393	0.00109936	0.00110069	0.00109936	0.00109875
0.98396794	0.00109949	0.00109575	0.00109949	0.00109889
0.98597194	0.00109961	0.00109848	0.00109961	0.00109900
0.98797595	0.00109971	0.00108943	0.00109971	0.00109910
0.98997996	0.00109980	0.00110328	0.00109980	0.00109919
0.99198397	0.00109987	0.00110159	0.00109987	0.00109926
0.99398798	0.00109993	0.00110500	0.00109993	0.00109932
0.99599198	0.00109997	0.00110297	0.00109997	0.00109936
0.99799599	0.00109999	0.00109035	0.00109999	0.00109938
1.00000000	0.00110000	0.00109460	0.00110000	0.00109939
