# Signal Processing Proof Results
# H shape: (3, 1), sigma_z: 1e-05
# SVD singular values: [1.224744871391589]
# Condition number: 1.00
# Fisher F: 45000000000.0000
# CRLB: 2.222222e-11
# LS RMS error: 7.797385e-06
# Reg RMS error: 7.797385e-06
# Iter RMS error: 7.797385e-06
# All checks pass: True
#
# t	G_true	x_hat_LS	x_hat_reg	x_hat_iter
0.20040080	0.00103066	0.00102708	0.00102708	0.00102708
0.20240481	0.00102946	0.00101393	0.00101393	0.00101393
0.20440882	0.00102826	0.00103583	0.00103583	0.00103583
0.20641283	0.00102705	0.00102575	0.00102575	0.00102575
0.20841683	0.00102583	0.00102983	0.00102983	0.00102983
0.21042084	0.00102461	0.00103010	0.00103010	0.00103010
0.21242485	0.00102339	0.00103543	0.00103543	0.00103543
0.21442886	0.00102216	0.00101567	0.00101567	0.00101567
0.21643287	0.00102093	0.00101464	0.00101464	0.00101464
0.21843687	0.00101970	0.00103057	0.00103057	0.00103057
0.22044088	0.00101847	0.00100722	0.00100722	0.00100722
0.22244489	0.00101723	0.00101759	0.00101759	0.00101759
0.22444890	0.00101599	0.00102022	0.00102022	0.00102022
0.22645291	0.00101474	0.00102906	0.00102906	0.00102906
0.22845691	0.00101349	0.00102087	0.00102087	0.00102087
0.23046092	0.00101225	0.00101590	0.00101590	0.00101590
0.23246493	0.00101100	0.00101914	0.00101914	0.00101914
0.23446894	0.00100974	0.00100418	0.00100418	0.00100418
0.23647295	0.00100849	0.00101838	0.00101838	0.00101838
0.23847695	0.00100723	0.00101650	0.00101650	0.00101650
0.24048096	0.00100598	0.00101230	0.00101230	0.00101230
0.24248497	0.00100472	0.00100419	0.00100419	0.00100419
0.24448898	0.00100346	0.00102122	0.00102122	0.00102122
0.24649299	0.00100220	0.00099353	0.00099353	0.00099353
0.24849699	0.00100094	0.00101561	0.00101561	0.00101561
0.25050100	0.00099969	0.00100876	0.00100876	0.00100876
0.25250501	0.00099843	0.00098953	0.00098953	0.00098953
0.25450902	0.00099717	0.00099046	0.00099046	0.00099046
0.25651303	0.00099591	0.00099655	0.00099655	0.00099655
0.25851703	0.00099465	0.00099604	0.00099604	0.00099604
0.26052104	0.00099339	0.00097849	0.00097849	0.00097849
0.26252505	0.00099214	0.00099910	0.00099910	0.00099910
0.26452906	0.00099088	0.00098865	0.00098865	0.00098865
0.26653307	0.00098963	0.00099288	0.00099288	0.00099288
0.26853707	0.00098838	0.00097806	0.00097806	0.00097806
0.27054108	0.00098713	0.00099516	0.00099516	0.00099516
0.27254509	0.00098588	0.00098737	0.00098737	0.00098737
0.27454910	0.00098464	0.00097864	0.00097864	0.00097864
0.27655311	0.00098339	0.00098651	0.00098651	0.00098651
0.27855711	0.00098215	0.00097197	0.00097197	0.00097197
0.28056112	0.00098092	0.00098032	0.00098032	0.00098032
0.28256513	0.00097968	0.00099854	0.00099854	0.00099854
0.28456914	0.00097845	0.00096637	0.00096637	0.00096637
