# t  lambda_eff(t)  g_eff(t)  a_eff(t)
0.23046092	1.00101225	1.00050612	1.00050612
0.23246493	1.00101100	1.00050550	1.00050550
0.23446894	1.00100974	1.00050487	1.00050487
0.23647295	1.00100849	1.00050424	1.00050424
0.23847695	1.00100723	1.00050362	1.00050362
0.24048096	1.00100598	1.00050299	1.00050299
0.24248497	1.00100472	1.00050236	1.00050236
0.24448898	1.00100346	1.00050173	1.00050173
0.24649299	1.00100220	1.00050110	1.00050110
0.24849699	1.00100094	1.00050047	1.00050047
0.25050100	1.00099969	1.00049984	1.00049984
0.25250501	1.00099843	1.00049921	1.00049921
0.25450902	1.00099717	1.00049858	1.00049858
0.25651303	1.00099591	1.00049795	1.00049795
0.25851703	1.00099465	1.00049733	1.00049733
0.26052104	1.00099339	1.00049670	1.00049670
0.26252505	1.00099214	1.00049607	1.00049607
0.26452906	1.00099088	1.00049544	1.00049544
0.26653307	1.00098963	1.00049482	1.00049482
0.26853707	1.00098838	1.00049419	1.00049419
0.27054108	1.00098713	1.00049356	1.00049356
0.27254509	1.00098588	1.00049294	1.00049294
0.27454910	1.00098464	1.00049232	1.00049232
0.27655311	1.00098339	1.00049170	1.00049170
0.27855711	1.00098215	1.00049108	1.00049108
0.28056112	1.00098092	1.00049046	1.00049046
0.28256513	1.00097968	1.00048984	1.00048984
0.28456914	1.00097845	1.00048922	1.00048922
0.28657315	1.00097722	1.00048861	1.00048861
0.28857715	1.00097600	1.00048800	1.00048800
0.29058116	1.00097478	1.00048739	1.00048739
0.29258517	1.00097356	1.00048678	1.00048678
0.29458918	1.00097235	1.00048617	1.00048617
0.29659319	1.00097114	1.00048557	1.00048557
0.29859719	1.00096994	1.00048497	1.00048497
0.30060120	1.00096874	1.00048437	1.00048437
0.30260521	1.00096755	1.00048377	1.00048377
0.30460922	1.00096636	1.00048318	1.00048318
0.30661323	1.00096517	1.00048259	1.00048259
0.30861723	1.00096400	1.00048200	1.00048200
0.31062124	1.00096282	1.00048141	1.00048141
0.31262525	1.00096166	1.00048083	1.00048083
0.31462926	1.00096050	1.00048025	1.00048025
0.31663327	1.00095935	1.00047967	1.00047967
0.31863727	1.00095820	1.00047910	1.00047910
0.32064128	1.00095706	1.00047853	1.00047853
0.32264529	1.00095592	1.00047796	1.00047796
0.32464930	1.00095480	1.00047740	1.00047740
0.32665331	1.00095368	1.00047684	1.00047684
0.32865731	1.00095257	1.00047628	1.00047628
0.33066132	1.00095146	1.00047573	1.00047573
0.33266533	1.00095036	1.00047518	1.00047518
0.33466934	1.00094927	1.00047464	1.00047464
0.33667335	1.00094819	1.00047410	1.00047410
0.33867735	1.00094712	1.00047356	1.00047356
0.34068136	1.00094606	1.00047303	1.00047303
0.34268537	1.00094500	1.00047250	1.00047250
0.34468938	1.00094395	1.00047198	1.00047198
0.34669339	1.00094291	1.00047146	1.00047146
0.34869739	1.00094189	1.00047094	1.00047094
0.35070140	1.00094087	1.00047043	1.00047043
0.35270541	1.00093985	1.00046993	1.00046993
0.35470942	1.00093885	1.00046943	1.00046943
0.35671343	1.00093786	1.00046893	1.00046893
0.35871743	1.00093688	1.00046844	1.00046844
0.36072144	1.00093591	1.00046795	1.00046795
0.36272545	1.00093495	1.00046747	1.00046747
0.36472946	1.00093400	1.00046700	1.00046700
0.36673347	1.00093306	1.00046653	1.00046653
0.36873747	1.00093213	1.00046606	1.00046606
0.37074148	1.00093121	1.00046560	1.00046560
0.37274549	1.00093030	1.00046515	1.00046515
0.37474950	1.00092940	1.00046470	1.00046470
0.37675351	1.00092851	1.00046426	1.00046426
0.37875752	1.00092764	1.00046382	1.00046382
0.38076152	1.00092678	1.00046339	1.00046339
0.38276553	1.00092592	1.00046296	1.00046296
0.38476954	1.00092508	1.00046254	1.00046254
0.38677355	1.00092426	1.00046213	1.00046213
0.38877756	1.00092344	1.00046172	1.00046172
0.39078156	1.00092264	1.00046132	1.00046132
0.39278557	1.00092184	1.00046092	1.00046092
0.39478958	1.00092107	1.00046053	1.00046053
0.39679359	1.00092030	1.00046015	1.00046015
0.39879760	1.00091954	1.00045977	1.00045977
0.40080160	1.00091880	1.00045940	1.00045940
0.40280561	1.00091807	1.00045904	1.00045904
0.40480962	1.00091736	1.00045868	1.00045868
0.40681363	1.00091666	1.00045833	1.00045833
0.40881764	1.00091597	1.00045798	1.00045798
0.41082164	1.00091529	1.00045765	1.00045765
0.41282565	1.00091463	1.00045731	1.00045731
0.41482966	1.00091398	1.00045699	1.00045699
0.41683367	1.00091335	1.00045667	1.00045667
0.41883768	1.00091272	1.00045636	1.00045636
0.42084168	1.00091212	1.00045606	1.00045606
0.42284569	1.00091152	1.00045576	1.00045576
0.42484970	1.00091094	1.00045547	1.00045547
0.42685371	1.00091038	1.00045519	1.00045519
0.42885772	1.00090983	1.00045491	1.00045491
0.43086172	1.00090929	1.00045464	1.00045464
0.43286573	1.00090877	1.00045438	1.00045438
0.43486974	1.00090826	1.00045413	1.00045413
0.43687375	1.00090776	1.00045388	1.00045388
0.43887776	1.00090728	1.00045364	1.00045364
0.44088176	1.00090682	1.00045341	1.00045341
0.44288577	1.00090637	1.00045319	1.00045319
0.44488978	1.00090594	1.00045297	1.00045297
0.44689379	1.00090552	1.00045276	1.00045276
0.44889780	1.00090511	1.00045256	1.00045256
0.45090180	1.00090472	1.00045236	1.00045236
0.45290581	1.00090435	1.00045217	1.00045217
0.45490982	1.00090399	1.00045199	1.00045199
0.45691383	1.00090364	1.00045182	1.00045182
0.45891784	1.00090331	1.00045166	1.00045166
0.46092184	1.00090300	1.00045150	1.00045150
0.46292585	1.00090270	1.00045135	1.00045135
0.46492986	1.00090242	1.00045121	1.00045121
0.46693387	1.00090215	1.00045108	1.00045108
0.46893788	1.00090190	1.00045095	1.00045095
0.47094188	1.00090166	1.00045083	1.00045083
0.47294589	1.00090144	1.00045072	1.00045072
0.47494990	1.00090124	1.00045062	1.00045062
0.47695391	1.00090105	1.00045052	1.00045052
0.47895792	1.00090087	1.00045044	1.00045044
0.48096192	1.00090071	1.00045036	1.00045036
0.48296593	1.00090057	1.00045029	1.00045029
0.48496994	1.00090045	1.00045022	1.00045022
0.48697395	1.00090033	1.00045017	1.00045017
0.48897796	1.00090024	1.00045012	1.00045012
0.49098196	1.00090016	1.00045008	1.00045008
0.49298597	1.00090010	1.00045005	1.00045005
0.49498998	1.00090005	1.00045002	1.00045002
0.49699399	1.00090002	1.00045001	1.00045001
0.49899800	1.00090000	1.00045000	1.00045000
0.50100200	1.00090000	1.00045000	1.00045000
0.50300601	1.00090002	1.00045001	1.00045001
0.50501002	1.00090005	1.00045002	1.00045002
0.50701403	1.00090010	1.00045005	1.00045005
0.50901804	1.00090016	1.00045008	1.00045008
0.51102204	1.00090024	1.00045012	1.00045012
0.51302605	1.00090033	1.00045017	1.00045017
0.51503006	1.00090045	1.00045022	1.00045022
0.51703407	1.00090057	1.00045029	1.00045029
0.51903808	1.00090071	1.00045036	1.00045036
0.52104208	1.00090087	1.00045044	1.00045044
0.52304609	1.00090105	1.00045052	1.00045052
0.52505010	1.00090124	1.00045062	1.00045062
0.52705411	1.00090144	1.00045072	1.00045072
0.52905812	1.00090166	1.00045083	1.00045083
